laptop_id;Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram;Memory;Gpu;OpSys;Weight_kg;Price_euros;id_shop;id_constructors
310;Lenovo;IdeaPad 320-15IAP;Notebook;15.6;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;No OS;2.2;359.99;36;29
311;HP;EliteBook x360;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 7600U 2.8GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.28;1975.00;25;31
312;Toshiba;Satellite Pro;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930M;Windows 10;2.2;1043.00;37;23
313;Lenovo;IdeaPad 320-15IKB;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.3;819.00;32;15
314;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.86;469.00;8;2
315;Lenovo;IdeaPad 720S-13IKB;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.1;999.00;17;19
316;Dell;XPS 13;Ultrabook;13.3;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16GB;1TB SSD;Intel UHD Graphics 620;Windows 10;1.21;2499.00;18;7
317;MSI;GE63VR 7RF;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8;2099.00;38;32
318;Acer;ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;AMD A8-Series 7410 2.2GHz;8GB;256GB SSD;AMD Radeon R5;Windows 10;2.23;469.00;17;5
319;Asus;VivoBook Flip;2 in 1 Convertible;11.6;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;2GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.1;275.00;18;22
320;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.33;844.00;18;8
321;HP;Spectre x360;2 in 1 Convertible;13.3;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16GB;1TB SSD;Intel UHD Graphics 620;Windows 10;1.29;2449.00;27;2
322;Lenovo;ThinkPad 13;Notebook;13.3;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 510;Chrome OS;1.45;459.90;23;19
323;HP;ProBook 640;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.95;980.00;27;30
324;Acer;TravelMate B;Notebook;11.6;1366x768;Intel Pentium Quad Core N3710 1.6GHz;4GB;128GB Flash Storage;Intel HD Graphics 405;Windows 10;1.4;485.00;14;6
325;HP;Elitebook 840;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48;1292.00;13;24
326;Lenovo;IdeaPad 320-17IKB;Notebook;17.3;1600x900;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.79;589.00;22;36
327;Asus;ZenBook UX410UA-GV183T;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2;1094.00;6;27
329;HP;ProBook 450;Notebook;15.6;IPS Panel Full HD 1366x768;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;2.1;902.00;8;15
330;Acer;Aspire 5;Notebook;15.6;1366x768;AMD A12-Series 9720P 2.7GHz;8GB;256GB SSD;AMD Radeon RX 540;Windows 10;2.2;659.00;22;5
331;Lenovo;IdeaPad 120S-14IAP;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.44;292.00;8;37
332;Acer;Aspire E5-575;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.23;549.00;23;37
333;Asus;VivoBook S15;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7;1049.90;38;30
334;HP;Elitebook 820;Ultrabook;12.5;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.26;1335.00;3;16
335;Dell;XPS 15;Notebook;15.6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06;2639.00;5;15
336;MSI;GL72M 7REX;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7;1199.00;34;18
337;Toshiba;Satellite Pro;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.0;943.00;37;31
338;Asus;UX510UX-CN269T (i7-7500U/8GB/256GB;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD +  1TB HDD;Intel HD Graphics 620;Windows 10;2;1334.00;38;34
339;Lenovo;V310-15ISK (i3-6006U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.85;449.00;23;1
340;Asus;FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.5;999.00;1;13
341;HP;EliteBook 840;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48;1268.00;15;16
342;Dell;Inspiron 7570;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;1.9;1049.00;6;33
343;HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.84;1144.00;22;11
344;Asus;X541NA (N3350/4GB/1TB/Linux);Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;Linux;2;274.99;6;1
345;Dell;Inspiron 7570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;2;1142.75;9;11
346;Dell;Inspiron 3552;Notebook;15.6;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics;Linux;2.2;274.90;12;22
347;Lenovo;IdeaPad 320-15ABR;Notebook;15.6;Full HD 1920x1080;AMD A12-Series 9720P 3.6GHz;12GB;2TB HDD;AMD Radeon 530;Windows 10;2.2;899.00;6;15
348;HP;ProBook 450;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 930MX ;Windows 10;2.1;716.00;24;21
349;Lenovo;Yoga 920-13IKB;2 in 1 Convertible;13.9;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.4;2099.00;34;19
350;Dell;XPS 13;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2;1579.00;35;20
351;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.4;1129.00;18;2
352;HP;Stream 14-AX001nv;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.44;279.00;27;17
353;Dell;Latitude 5590;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;16GB;512GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1.88;1607.96;2;20
354;Asus;VivoBook Flip;2 in 1 Convertible;11.6;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5;375.00;32;33
355;Dell;Inspiron 5570;Ultrabook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;AMD Radeon 530;Windows 10;1.9;663.00;6;1
356;Dell;XPS 15;Notebook;15.6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06;2027.42;12;14
357;HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.84;1304.00;37;6
358;MSI;GP72MVR 7RFX;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7;1409.00;21;2
359;HP;Zbook 15;Workstation;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;2.6;1738.27;5;24
360;Toshiba;Tecra A50-C-21G;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Nvidia GeForce 930M;Windows 10;2.4;1403.00;20;36
361;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02;970.90;27;6
362;Lenovo;IdeaPad 320-15IAP;Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;No OS;2.2;321.99;34;3
363;Dell;Inspiron 7577;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.65;999.00;28;35
364;Dell;Inspiron 3567;Notebook;15.6;Touchscreen 1366x768;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Intel HD Graphics 620;Windows 10;2.36;557.37;4;32
365;Dell;Latitude 7480;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36;1427.00;10;12
366;HP;250 G6;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.86;439.00;11;3
367;Asus;Zenbook UX410UA-GV027T;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2;945.00;36;4
368;Lenovo;IdeaPad 320-17IKB;Notebook;17.3;1600x900;Intel Core i5 7200U 2.5GHz;6GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 940MX;Windows 10;2.8;719.00;18;10
369;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.86;639.00;36;26
370;Lenovo;IdeaPad 320-15ISK;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Nvidia GeForce 920MX ;No OS;2.2;499.00;26;35
371;HP;15-AY023na (N3710/8GB/2TB/W10);Notebook;15.6;1366x768;Intel Pentium Quad Core N3710 1.6GHz;8GB;2TB HDD;Intel HD Graphics 405;Windows 10;2.04;389.00;9;20
372;Dell;Inspiron 5770;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8;1085.00;6;36
373;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;No OS;2.4;809.00;19;8
374;Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R7 M445;Windows 10;2.33;899.00;18;16
375;HP;Elitebook 1040;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36;1750.00;19;19
376;Asus;ZenBook Flip;2 in 1 Convertible;15.6;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12GB;512GB SSD +  2TB HDD;Nvidia GeForce GT 940MX;Windows 10;2.26;1099.00;2;21
377;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;128GB SSD;AMD Radeon R5;Windows 10;2.1;426.00;18;3
378;Asus;Rog Strix;Gaming;17.3;IPS Panel Full HD 1920x1080;AMD Ryzen 1700 3GHz;16GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.25;2199.00;10;18
379;Lenovo;IdeaPad 110-17ACL;Notebook;17.3;1600x900;AMD A8-Series 7410 2.2GHz;4GB;128GB SSD;AMD Radeon R5;Windows 10;2.6;489.00;21;13
380;Dell;Inspiron 5379;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.62;869.01;13;8
381;HP;15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon R5;Windows 10;1.91;488.99;37;34
382;Lenovo;Yoga 11e;Netbook;11.6;IPS Panel 1366x768;Intel Celeron Quad Core N3450 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;Windows 10;1.59;553.00;35;34
383;Dell;Inspiron 3552;Notebook;15.6;1366x768;Intel Celeron Dual Core N3060 1.60GHz;4GB;500GB HDD;Intel HD Graphics 400;Windows 10;1.8;309.00;33;15
384;Asus;VivoBook E403NA;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5;286.00;2;26
385;Acer;Aspire 7;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4;846.00;12;15
386;HP;Omen 17-w212nv;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3.35;1191.00;2;20
387;Lenovo;V310-15ISK (i3-6006U/4GB/128GB/FHD/No;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;No OS;1.85;403.50;35;9
388;Asus;ROG Strix;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.3;1655.00;27;26
389;Lenovo;IdeaPad 720S-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.5;1099.00;24;6
390;Asus;Zenbook Flip;Ultrabook;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.1;1748.90;37;8
391;Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.13;2282.00;7;1
392;Lenovo;Ideapad 510S-13IKB;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.5;549.00;25;16
393;Dell;Precision 3510;Workstation;15.6;Full HD 1920x1080;Intel Core i5 6440HQ 2.6GHz;8GB;500GB HDD;AMD FirePro W5130M;Windows 10;2.23;1369.00;28;10
394;Dell;Precision 5520;Workstation;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;2;2135.00;24;23
395;Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.42;2509.00;3;29
396;Asus;Rog GL753VD-GC042T;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3;1039.00;35;22
397;Asus;Rog GL753VE-GC070T;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;3;1591.00;18;20
399;Acer;Aspire 5;Notebook;15.6;IPS Panel 1366x768;Intel Core i5 8250U 1.6GHz;12GB;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2;693.99;37;19
400;MSI;Leopard GP72M;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7;1349.00;1;25
401;Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R7 M445;Linux;2.33;778.87;6;37
402;HP;15-BW004nv (A9-9420/4GB/256GB/Radeon;Ultrabook;15.6;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon 520;Windows 10;1.91;499.00;38;34
403;Lenovo;ThinkPad E580;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon RX 550;Windows 10;2.1;1229.56;12;33
404;Lenovo;ThinkPad L470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.9;938.00;23;37
405;Dell;Precision M5520;Workstation;15.6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;1.78;2712.00;33;22
406;Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;16GB;1TB SSD;Intel HD Graphics 620;Windows 10;1.13;2625.00;35;5
407;Lenovo;IdeaPad 320-15IAP;Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;Windows 10;2.2;306.00;3;28
408;Asus;FX753VD-GC461T (i7-7700HQ/16GB/1TB;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.9;1529.00;20;10
409;Lenovo;ThinkPad E580;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 550;Windows 10;2.1;1144.50;28;7
410;Acer;Aspire 7;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Linux;2.5;879.00;1;10
411;MSI;GE73VR 7RF;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8;2249.00;3;30
412;Asus;Zenbook 3;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.10;1873.00;13;9
413;Toshiba;Portege Z30-C-16P;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.2;1747.00;34;31
414;Dell;Latitude 7480;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8GB;512GB SSD;Intel HD Graphics;Windows 10;1.36;1680.00;38;6
415;Lenovo;IdeaPad 320-15ISK;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.2;409.00;12;8
416;Lenovo;Lenovo IdeaPad;Notebook;11.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;2GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.15;304.45;31;29
417;Lenovo;ThinkPad P51;Workstation;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;512GB SSD;Nvidia Quadro M1200;Windows 10;2.67;1925.00;23;13
418;Lenovo;Thinkpad T470p;Ultrabook;14;IPS Panel Full HD 2560x1440;Intel Core i7 7700HQ 2.8GHz;8GB;512GB SSD;Nvidia GeForce GT 940MX;Windows 10;1.7;1943.00;29;35
419;HP;15-BS028nv (i3-6006U/4GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon 520;Windows 10;2.1;469.00;20;12
420;Acer;Aspire R7;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.6;789.01;32;5
421;Asus;ZenBook Flip;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.27;928.00;1;7
422;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;AMD Radeon R5 M430;Linux;2.3;598.90;25;3
423;Dell;Latitude 3380;Notebook;13.3;1366x768;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.65;689.00;23;19
424;HP;EliteBook 1040;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.43;1500.00;13;25
425;Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.14;539.95;13;34
426;Lenovo;ThinkPad E480;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon RX 550;Windows 10;1.75;1215.38;4;37
427;Lenovo;Yoga 720-15IKB;2 in 1 Convertible;15.6;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2;1899.00;34;8
428;Chuwi;LapBook 12.3;Notebook;12.3;IPS Panel Retina Display 2736x1824;Intel Celeron Quad Core N3450 1.1GHz;6GB;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.4;449.00;38;11
429;HP;ProBook 650;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;8GB;256GB SSD;Intel HD Graphics 630;Windows 10;2.31;1427.00;9;30
430;Asus;X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Linux;2.3;597.00;3;9
431;Dell;Alienware 17;Gaming;17.3;IPS Panel 2560x1440;Intel Core i7 7820HK 2.9GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42;2799.00;30;2
432;Dell;Inspiron 7577;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.62;1159.00;9;9
433;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02;1142.40;16;28
434;Dell;Latitude 5480;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Linux;1.6;1099.00;17;20
435;HP;Omen 17-w207nv;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.35;1999.00;11;22
436;Mediacom;FlexBook Edge;2 in 1 Convertible;11.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB SSD;Intel HD Graphics 500;Windows 10;1.16;299.00;17;24
437;Samsung;Chromebook 3;Netbook;11.6;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.15;269.00;32;34
438;Lenovo;Thinkpad 13;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.4;1010.00;29;2
439;Lenovo;IdeaPad 320s-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.7;599.00;17;2
440;Lenovo;Thinkpad T570;Workstation;15.6;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7600U 2.8GHz;16GB;512GB SSD;Nvidia GeForce 940MX;Windows 10;2.3;2445.00;15;24
441;Lenovo;Thinkpad P51;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;16GB;512GB SSD;Nvidia Quadro M2200M;Windows 10;2.5;2449.00;11;14
442;Asus;Rog Strix;Gaming;17.3;Full HD 1920x1080;AMD Ryzen 1600 3.2GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2;1695.00;27;28
443;HP;15-ra044nv (N3060/4GB/500GB/W10);Notebook;15.6;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics 400;Windows 10;2.1;347.00;18;5
444;Google;Pixelbook (Core;Ultrabook;12.3;Touchscreen 2400x1600;Intel Core i7 7Y75 1.3GHz;16GB;512GB SSD;Intel HD Graphics 615;Chrome OS;1.1;2199.00;14;2
445;Lenovo;ThinkPad T470s;Ultrabook;14;2560x1440;Intel Core i7 7500U 2.7GHz;24GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.32;2382.00;13;20
